date,value
2024-01-01,0.3214901424610773
2024-01-02,0.3220592466915278
2024-01-03,
2024-01-04,0.3313854771731812
2024-01-05,0.32771224972845714
2024-01-06,0.3287874353282635
2024-01-07,0.33471258831934786
2024-01-08,0.3321421636644855
2024-01-09,0.32768455112057415
2024-01-10,0.3294084121120004
2024-01-11,0.3245944683777027
2024-01-12,0.3224194206782564
2024-01-13,0.32213708691782417
2024-01-14,0.31317820794824053
2024-01-15,0.31131741425917153
2024-01-16,0.31259752426590115
2024-01-17,0.309393481736053
2024-01-18,0.3119928484767357
2024-01-19,0.30750062667157885
2024-01-20,0.3057701610975933
2024-01-21,0.31480770367171207
2024-01-22,0.310733326300557
2024-01-23,0.31314718152481574
2024-01-24,0.31064296486967674
2024-01-25,0.3155726970927582
2024-01-26,0.3200009759069565
2024-01-27,0.31869821951906563
2024-01-28,0.3256275352453173
2024-01-29,0.3247679504700845
2024-01-30,0.32735572821574715
2024-01-31,0.32757488075552066
2024-02-01,0.33550282335163806
2024-02-02,0.329853092021972
2024-02-03,0.3260529108177924
2024-02-04,0.3304525076974172
2024-02-05,0.3225847108287474
2024-02-06,
2024-02-07,0.31585988782552105
2024-02-08,0.3152639347322709
2024-02-09,0.3173953967590857
2024-02-10,0.31677519472308435
2024-02-11,0.3131671279802975
2024-02-12,0.3108561066413023
2024-02-13,0.30939672133435797
2024-02-14,0.3055645455213675
2024-02-15,0.30816240395945343
2024-02-16,-0.31872815593533393
2024-02-17,0.3158847416246289
2024-02-18,0.3156651558625322
2024-02-19,0.31159972283850046
2024-02-20,0.3203090779487372
2024-02-21,0.3206707994853639
2024-02-22,0.32217097152043844
2024-02-23,0.3281512207646712
2024-02-24,0.3311309430136339
2024-02-25,0.3320537871463256
2024-02-26,0.32738857043920017
2024-02-27,0.32900895642474537
2024-02-28,0.33034296380548095
2024-02-29,0.3311071253349824
2024-03-01,
2024-03-02,0.32386465100794976
2024-03-03,0.9473379041964709
2024-03-04,0.3159917426572962
2024-03-05,0.31955928453964105
2024-03-06,0.3189108057472505
2024-03-07,0.31266722051754786
2024-03-08,0.3143776127671425
2024-03-09,
2024-03-10,
2024-03-11,0.31133038443168454
2024-03-12,0.3157070531007882
2024-03-13,0.31238631581644133
2024-03-14,0.31905565007162556
2024-03-15,0.30872142810666847
2024-03-16,0.3214784726128765
2024-03-17,0.321768072936256
2024-03-18,0.32301121737664196
2024-03-19,0.9549345917512574
2024-03-20,0.32188818959082205
2024-03-21,0.3284885959912447
2024-03-22,0.3309487682400756
2024-03-23,0.3344290697368605
2024-03-24,0.32793984051882846
2024-03-25,0.32598148725424414
2024-03-26,0.3252954432325689
2024-03-27,0.32752288052727213
2024-03-28,
2024-03-29,0.3184121330038882
2024-03-30,0.3190899294510873
2024-03-31,0.31555362757562566
2024-04-01,0.31618887721501016
2024-04-02,0.3096317171194481
2024-04-03,0.3097439807043569
2024-04-04,0.3091412667943442
2024-04-05,0.9347419168387743
2024-04-06,0.3122775916242716
2024-04-07,0.31360174821738357
2024-04-08,0.3147652855033459
2024-04-09,0.31637171920765333
2024-04-10,0.31541941953552494
2024-04-11,0.3211153330153309
2024-04-12,0.32403613595041575
2024-04-13,0.3251796969895891
2024-04-14,0.32933624692957814
2024-04-15,0.33287832050628224
2024-04-16,0.33871716259593476
2024-04-17,
2024-04-18,0.33518778444992303
2024-04-19,0.33422995711924597
2024-04-20,0.3284305706554905
2024-04-21,0.3336793316074287
2024-04-22,0.3335285459436481
2024-04-23,0.34055122702560814
2024-04-24,0.3328516498224944
2024-04-25,0.3352956841051595
2024-04-26,0.3361891962083021
2024-04-27,0.3358685789397077
2024-04-28,0.3472872329576845
2024-04-29,0.35220120941543986
2024-04-30,0.3601739484090476
2024-05-01,0.36482072665377513
2024-05-02,1.0120614945863604
2024-05-03,0.38874301164408154
2024-05-04,0.4103102814285632
2024-05-05,0.43249627330169216
2024-05-06,0.44187834313048047
2024-05-07,0.46331752430913176
2024-05-08,0.48633815686269904
2024-05-09,0.505962717346757
2024-05-10,0.5241867139422599
2024-05-11,0.5498604052664366
2024-05-12,0.5662872715048752
2024-05-13,1.2179304609043657
2024-05-14,0.6019429197500353
2024-05-15,0.624298978990866
2024-05-16,0.6303509803837986
2024-05-17,
2024-05-18,0.655822780486728
2024-05-19,0.6576540363130136
2024-05-20,0.6687193843000039
2024-05-21,0.6776367472477419
2024-05-22,0.6738182840366284
2024-05-23,0.6836056521658949
2024-05-24,0.6879321894887667
2024-05-25,
2024-05-26,0.6913056898701131
2024-05-27,0.694991458699623
2024-05-28,0.7044916459325343
2024-05-29,0.7077967894019098
2024-05-30,0.7115790065698364
2024-05-31,0.7156383939151748
2024-06-01,0.7160722376286487
2024-06-02,0.7219504823270533
2024-06-03,0.7247939348863486
2024-06-04,0.7238584534220568
2024-06-05,
2024-06-06,0.7296210078876704
